SITE_ID,DATE,SPECIES,DAY,MONTH,YEAR,COUNT
1,2000-04-07,2,7,4,2000,5
1,2000-04-19,2,19,4,2000,3
1,2000-05-12,2,12,5,2000,1
1,2000-05-12,4,12,5,2000,2
1,2000-05-15,4,15,5,2000,4
1,2000-05-24,4,24,5,2000,2
1,2000-05-31,2,31,5,2000,1
1,2000-05-31,4,31,5,2000,2
1,2000-06-07,4,7,6,2000,1
1,2000-06-19,2,19,6,2000,1
1,2000-07-17,2,17,7,2000,8
1,2000-07-26,2,26,7,2000,36
1,2000-07-31,2,31,7,2000,5
1,2000-08-07,2,7,8,2000,5
1,2000-09-21,2,21,9,2000,2
1,2001-04-02,2,2,4,2001,4
1,2001-04-27,2,27,4,2001,3
1,2001-04-30,2,30,4,2001,5
1,2001-05-08,2,8,5,2001,4
1,2001-05-21,2,21,5,2001,4
1,2001-05-21,4,21,5,2001,1
1,2001-05-30,2,30,5,2001,1
1,2001-05-30,4,30,5,2001,1
1,2001-06-05,2,5,6,2001,2
1,2001-06-05,4,5,6,2001,1
1,2001-06-14,2,14,6,2001,1
1,2001-07-16,2,16,7,2001,5
1,2001-07-23,2,23,7,2001,45
1,2001-08-01,2,1,8,2001,1
1,2001-08-23,2,23,8,2001,3
1,2001-08-28,2,28,8,2001,2
1,2001-09-06,2,6,9,2001,14
1,2001-09-14,2,14,9,2001,4
1,2001-09-22,2,22,9,2001,3
1,2002-04-04,2,4,4,2002,2
1,2002-04-17,2,17,4,2002,2
1,2002-04-17,4,17,4,2002,1
1,2002-04-23,2,23,4,2002,4
1,2002-04-23,4,23,4,2002,3
1,2002-05-12,4,12,5,2002,2
1,2002-05-23,2,23,5,2002,1
1,2002-05-27,2,27,5,2002,3
1,2002-05-27,4,27,5,2002,2
1,2002-06-08,4,8,6,2002,2
1,2002-06-17,4,17,6,2002,1
1,2002-07-04,2,4,7,2002,1
1,2002-07-13,2,13,7,2002,3
1,2002-07-18,2,18,7,2002,5
1,2002-08-11,2,11,8,2002,1
1,2002-08-15,2,15,8,2002,3
1,2002-09-01,2,1,9,2002,1
1,2003-04-04,2,4,4,2003,1
1,2003-04-14,2,14,4,2003,1
1,2003-04-17,2,17,4,2003,1
1,2003-04-22,2,22,4,2003,2
1,2003-05-07,4,7,5,2003,3
1,2003-05-15,4,15,5,2003,1
1,2003-05-26,4,26,5,2003,1
1,2003-05-29,4,29,5,2003,1
1,2003-06-09,4,9,6,2003,1
1,2003-06-13,2,13,6,2003,1
1,2003-06-19,2,19,6,2003,4
1,2003-06-28,2,28,6,2003,14
1,2003-07-07,2,7,7,2003,5
1,2003-07-10,2,10,7,2003,7
1,2003-07-16,2,16,7,2003,3
1,2003-07-24,2,24,7,2003,3
1,2003-08-02,2,2,8,2003,8
1,2003-08-07,2,7,8,2003,4
1,2003-08-12,2,12,8,2003,2
1,2003-08-20,2,20,8,2003,4
1,2003-08-26,2,26,8,2003,3
1,2003-09-16,2,16,9,2003,2
1,2003-09-24,2,24,9,2003,1
1,2004-04-09,2,9,4,2004,6
1,2004-04-14,2,14,4,2004,3
1,2004-04-23,2,23,4,2004,2
1,2004-04-26,2,26,4,2004,6
1,2004-05-14,2,14,5,2004,3
1,2004-05-14,4,14,5,2004,2
1,2004-05-17,2,17,5,2004,1
1,2004-05-17,4,17,5,2004,3
1,2004-05-25,4,25,5,2004,2
1,2004-06-22,2,22,6,2004,2
1,2004-07-01,2,1,7,2004,22
1,2004-07-06,2,6,7,2004,27
1,2004-07-15,2,15,7,2004,9
1,2004-07-22,2,22,7,2004,10
1,2004-07-27,2,27,7,2004,9
1,2004-08-26,2,26,8,2004,7
1,2004-09-02,2,2,9,2004,3
2,2000-04-27,4,27,4,2000,1
2,2000-06-19,4,19,6,2000,1
2,2000-07-17,2,17,7,2000,1
2,2000-07-26,2,26,7,2000,1
2,2000-08-01,2,1,8,2000,1
2,2000-08-07,2,7,8,2000,1
2,2000-09-04,2,4,9,2000,2
2,2000-09-11,2,11,9,2000,2
2,2000-09-21,2,21,9,2000,1
2,2001-07-16,2,16,7,2001,1
2,2001-08-28,2,28,8,2001,2
2,2001-09-06,2,6,9,2001,1
2,2001-09-14,2,14,9,2001,3
2,2001-09-26,2,26,9,2001,2
2,2002-04-23,4,23,4,2002,1
2,2002-05-11,4,11,5,2002,2
2,2002-05-16,4,16,5,2002,1
2,2002-06-14,4,14,6,2002,1
2,2002-07-04,2,4,7,2002,1
2,2003-05-06,4,6,5,2003,1
2,2003-07-31,2,31,7,2003,1
2,2003-08-05,2,5,8,2003,4
2,2003-08-13,2,13,8,2003,3
2,2003-08-19,2,19,8,2003,3
2,2003-08-26,2,26,8,2003,1
2,2004-04-23,4,23,4,2004,1
2,2004-04-26,2,26,4,2004,1
2,2004-05-14,4,14,5,2004,1
2,2004-07-13,2,13,7,2004,1
2,2004-07-19,2,19,7,2004,1
2,2004-09-02,2,2,9,2004,2
3,2000-05-12,4,12,5,2000,5
3,2000-06-03,4,3,6,2000,2
3,2000-06-17,4,17,6,2000,3
3,2001-04-20,2,20,4,2001,1
3,2001-04-20,4,20,4,2001,1
3,2001-05-04,4,4,5,2001,4
3,2001-05-10,4,10,5,2001,4
3,2001-05-18,4,18,5,2001,2
3,2001-05-25,4,25,5,2001,1
3,2001-05-29,4,29,5,2001,6
3,2001-06-08,4,8,6,2001,2
3,2001-06-13,4,13,6,2001,2
3,2001-08-17,4,17,8,2001,9
3,2001-09-02,2,2,9,2001,2
3,2001-09-12,2,12,9,2001,3
3,2001-09-26,2,26,9,2001,1
3,2002-04-08,2,8,4,2002,2
3,2002-04-20,2,20,4,2002,1
3,2002-04-20,4,20,4,2002,3
3,2002-04-25,2,25,4,2002,1
3,2002-05-02,4,2,5,2002,1
3,2002-05-06,2,6,5,2002,1
3,2002-05-16,4,16,5,2002,8
3,2002-05-20,4,20,5,2002,4
3,2002-05-27,4,27,5,2002,1
3,2002-06-17,2,17,6,2002,2
3,2002-08-15,2,15,8,2002,2
3,2002-09-24,2,24,9,2002,1
3,2003-04-27,4,27,4,2003,7
3,2003-05-04,2,4,5,2003,1
3,2003-05-15,4,15,5,2003,1
3,2003-05-23,4,23,5,2003,2
3,2003-06-04,4,4,6,2003,1
3,2003-07-21,2,21,7,2003,1
3,2003-08-02,2,2,8,2003,7
3,2003-08-08,2,8,8,2003,8
3,2003-08-14,2,14,8,2003,44
3,2003-08-19,2,19,8,2003,11
3,2003-08-27,2,27,8,2003,1
3,2003-09-15,2,15,9,2003,1
3,2004-04-24,4,24,4,2004,2
3,2004-05-12,4,12,5,2004,3
3,2004-05-18,4,18,5,2004,7
3,2004-05-24,2,24,5,2004,1
3,2004-05-24,4,24,5,2004,6
3,2004-06-06,2,6,6,2004,4
3,2004-06-06,4,6,6,2004,1
3,2004-06-08,2,8,6,2004,2
3,2004-06-16,2,16,6,2004,3
3,2004-06-22,2,22,6,2004,6
3,2004-08-24,2,24,8,2004,6
3,2004-09-17,2,17,9,2004,1
4,2000-08-11,2,11,8,2000,1
4,2000-09-04,2,4,9,2000,1
4,2001-05-08,4,8,5,2001,1
4,2001-06-05,4,5,6,2001,2
4,2001-07-16,2,16,7,2001,1
4,2001-08-28,2,28,8,2001,2
4,2001-09-06,2,6,9,2001,2
4,2002-04-22,4,22,4,2002,1
4,2002-05-12,4,12,5,2002,1
4,2002-05-16,4,16,5,2002,4
4,2002-05-21,4,21,5,2002,1
4,2002-07-04,2,4,7,2002,1
4,2003-04-17,4,17,4,2003,1
4,2003-05-01,4,1,5,2003,3
4,2003-05-07,4,7,5,2003,1
4,2003-05-15,4,15,5,2003,1
4,2003-05-26,4,26,5,2003,2
4,2003-06-17,4,17,6,2003,1
4,2003-07-31,2,31,7,2003,1
4,2003-08-20,2,20,8,2003,2
4,2003-08-26,2,26,8,2003,1
4,2004-05-17,4,17,5,2004,2
4,2004-05-24,4,24,5,2004,1
4,2004-07-13,2,13,7,2004,1
4,2004-08-26,2,26,8,2004,3
4,2004-09-02,2,2,9,2004,5
4,2004-09-06,2,6,9,2004,2
6,2000-04-07,4,7,4,2000,1
6,2000-05-01,4,1,5,2000,4
6,2000-05-10,4,10,5,2000,1
6,2000-05-15,4,15,5,2000,1
6,2000-09-10,2,10,9,2000,1
6,2001-08-27,2,27,8,2001,1
6,2001-09-04,2,4,9,2001,1
6,2001-09-10,2,10,9,2001,1
6,2001-09-18,2,18,9,2001,1
6,2002-04-15,4,15,4,2002,1
6,2002-04-24,4,24,4,2002,1
